group,feature,label,n,auc,dir,mi,d
Window (1s),acceleration_ms2_absmax_1s,rule_anomalous_stop,1289089,0.8255509856627137,-,0.0005857607789394592,-0.5532187571966113
Window (1s),acceleration_ms2_absmax_1s,rule_path_deviation,1289089,0.5489685510532921,+,0.0011518537908111748,0.11996732641330096
Window (1s),acceleration_ms2_absmax_1s,rule_close_conflict,1289089,0.8217031268341668,+,0.002019902155847575,0.4550809175738521
Window (1s),acceleration_ms2_absmax_1s,rule_any,1289089,0.7440910156342059,+,0.019804836453247487,0.6083247897898346
Window (1s),heading_change_rad_mean_1s,rule_hard_brake,1274986,0.6761182325344932,-,0.006876630388229499,-0.32973050142264526
Window (1s),heading_change_rad_mean_1s,rule_anomalous_stop,1274986,0.5087633465832362,-,0.000607045108582227,0.00905039706637147
Window (1s),heading_change_rad_mean_1s,rule_path_deviation,1274986,0.5124294227319559,+,0.00022991896280777357,0.07217361084086636
Window (1s),heading_change_rad_mean_1s,rule_close_conflict,1274986,0.6154430393653446,-,0.0007466798278595865,0.0929444549486016
Window (1s),heading_change_rad_mean_1s,rule_any,1274986,0.6325891730333841,-,0.006963106712106759,-0.23994071992086796
Window (1s),heading_change_rad_std_1s,rule_hard_brake,1241987,0.679517369692716,+,0.004724499136712579,0.4978390511807702
Window (1s),heading_change_rad_std_1s,rule_anomalous_stop,1241987,0.7442667781080878,+,0.0012910793383117403,1.4973447511673479
Window (1s),heading_change_rad_std_1s,rule_path_deviation,1241987,0.6471354749421097,+,0.00032452082114253766,0.5108948976937302
Window (1s),heading_change_rad_std_1s,rule_close_conflict,1241987,0.6462460421544438,+,0.00029959034588644684,0.29213341138940013
Window (1s),heading_change_rad_std_1s,rule_any,1241987,0.6784706282686881,+,0.0056038533268101265,0.5653116449726387
Window (1s),heading_change_rad_absmax_1s,rule_hard_brake,1274986,0.6722934289419594,+,0.0024524757751600568,0.6158260468491425
Window (1s),heading_change_rad_absmax_1s,rule_anomalous_stop,1274986,0.7914777230691028,+,0.0013150168497831904,1.5086412076330762
Window (1s),heading_change_rad_absmax_1s,rule_path_deviation,1274986,0.6590867216356476,+,0.00021075456083563537,0.5938695920349589
Window (1s),heading_change_rad_absmax_1s,rule_close_conflict,1274986,0.6695326375982633,+,0.000469203415124797,0.4839297134087239
Window (1s),heading_change_rad_absmax_1s,rule_any,1274986,0.6787605380962161,+,0.0036412017202880342,0.6689256074540934
Window (2s),Speed_ms_mean_2s,rule_hard_brake,1372369,0.6060254533732958,+,0.0012205593192811115,0.37906108436820807
Window (2s),Speed_ms_mean_2s,rule_anomalous_stop,1372369,0.9811809924984353,-,0.004482684401466708,-1.9488541106929704
